timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1778304774,98,0,98,8888.53,0.00,0.000,0.000,0.000
1778304775,10003,4991,5012,9998.97,5038.31,0.226,1.327,2.435
1778304776,20011,14985,5026,10009.37,9995.38,0.236,1.308,2.408
1778304777,30006,24994,5012,9988.87,10002.81,0.241,1.321,2.427
1778304778,40012,34991,5021,10008.28,9999.03,0.239,1.334,2.415
1778304779,50012,44985,5027,10004.96,9999.26,0.237,1.328,2.410
1778304780,60017,54988,5029,10000.70,9998.71,0.236,1.331,2.408
1778304781,70014,64997,5017,9989.62,10001.05,0.234,1.335,2.408
1778304782,80008,74996,5012,9999.42,10005.00,0.234,1.339,2.413
1778304783,90004,84992,5012,9997.16,9997.14,0.234,1.339,2.413
1778304784,99999,94987,5012,0.00,2431.27,0.234,1.332,2.413
1778304785,99999,94987,5012,0.00,0.00,0.234,1.332,2.413
1778304786,99999,94987,5012,0.00,0.00,0.234,1.332,2.413
1778304787,99999,94987,5012,0.00,0.00,0.234,1.332,2.413
1778304788,99999,94987,5012,0.00,0.00,0.234,1.332,2.413
