timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1778304796,0,0,0,0.00,0.00,0.000,0.000,0.000
1778304797,444,445,0,443.97,444.97,0.941,501.481,556.270
1778304798,885,886,0,441.25,441.24,0.322,461.898,538.444
1778304799,1321,1322,0,435.88,435.88,0.305,409.207,536.609
1778304800,1753,1753,0,432.26,431.26,0.298,354.419,518.783
1778304801,2193,2194,0,439.91,440.91,0.292,316.408,515.899
1778304802,2627,2628,0,433.74,433.74,0.292,261.882,499.384
1778304803,3069,3070,0,442.14,442.13,0.290,209.584,481.821
1778304804,3509,3510,0,439.75,439.75,0.287,157.155,480.248
1778304805,3955,3956,0,446.20,446.20,0.287,119.996,464.257
1778304806,4397,4398,0,441.80,441.80,0.287,68.944,462.160
1778304807,4398,4398,0,0.00,0.00,0.287,68.944,462.160
