timestamp,sent_count,received_count,error_count,total_throughput,interval_throughput,latency_ns_p25,latency_ns_p50,latency_ns_p75,latency_ns_p95,latency_ns_p99,latency_ns_min,latency_ns_max,latency_ns_mean,latency_ns_stddev,latency_sample_count,duplicate_count,gap_count,head_loss
1778304743,1,0,0,823.89,9.73,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1778304744,2,0,0,2.00,1.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1778304745,3,0,1,1.50,1.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1778304746,4,0,2,1.33,1.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1778304747,5,0,3,1.25,1.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1778304748,6,0,4,1.20,1.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1778304749,7,0,5,1.17,1.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1778304750,8,0,6,1.14,1.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1778304751,9,0,7,1.12,1.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1778304752,10,0,8,1.11,1.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1778304753,11,0,9,1.10,1.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
