timestamp,sent_count,received_count,error_count,total_throughput,interval_throughput,latency_ns_p25,latency_ns_p50,latency_ns_p75,latency_ns_p95,latency_ns_p99,latency_ns_min,latency_ns_max,latency_ns_mean,latency_ns_stddev,latency_sample_count,duplicate_count,gap_count,head_loss
1778305073,1,0,0,892.88,9.66,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1778305074,427,384,0,452.00,384.18,2351103,2408447,2484223,2603007,2752511,1284096,2953215,2352021.33,306047.66,384,0,0,0
1778305075,860,832,0,449.75,447.84,2338815,2394111,2473983,2594815,2736127,1192960,2953215,2326121.23,324209.08,832,0,0,0
1778305076,1285,1280,0,449.22,448.24,2340863,2400255,2480127,2596863,2752511,1192960,2953215,2334185.60,320354.10,1280,0,0,0
1778305077,1719,1664,0,432.19,383.70,2340863,2398207,2473983,2594815,2736127,1192960,2953215,2326801.85,324470.58,1664,0,0,0
1778305078,2155,2112,0,435.46,448.05,2340863,2398207,2469887,2586623,2736127,1192960,6180863,2321796.85,340422.61,2112,0,0,0
1778305079,2587,2560,0,437.64,448.26,2340863,2398207,2471935,2586623,2740223,1192960,6180863,2318752.80,343024.81,2560,0,0,0
1778305080,3014,3008,0,439.11,447.65,2342911,2402303,2478079,2600959,2754559,1192960,6180863,2322705.53,343941.50,3008,0,0,0
1778305081,3447,3392,0,432.12,384.24,2342911,2400255,2473983,2598911,2752511,1192960,6180863,2320291.02,342272.33,3392,0,0,0
1778305082,3881,3840,0,433.91,447.94,2340863,2396159,2471935,2594815,2756607,1192960,6180863,2318876.27,340354.29,3840,0,0,0
1778305083,4315,4288,0,435.32,447.84,2338815,2394111,2469887,2592767,2754559,1192960,8478719,2317127.76,352748.02,4288,0,0,0
