timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1778304758,0,0,0,0.00,0.00,0.000,0.000,0.000
1778304759,1,1,0,1.00,1.00,0.354,0.354,0.354
1778304760,1,2,0,0.00,1.00,0.294,0.354,0.354
1778304761,1,3,0,0.00,1.00,0.321,0.354,0.354
1778304762,1,4,0,0.00,1.00,0.295,0.354,0.354
1778304763,1,5,0,0.00,1.00,0.321,0.431,0.431
1778304764,1,6,0,0.00,1.00,0.321,0.431,0.431
1778304765,1,7,0,0.00,1.00,0.321,0.431,0.431
1778304766,1,8,0,0.00,1.00,0.321,0.431,0.431
1778304767,1,9,0,0.00,1.00,0.346,0.431,0.431
1778304768,1,10,0,0.00,1.00,0.321,0.431,0.431
1778304769,1,10,0,0.00,0.00,0.321,0.431,0.431
