timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1778305090,0,0,0,0.00,0.00,0.000,0.000,0.000
1778305091,425,426,0,424.95,425.94,0.254,0.469,1.432
1778305092,846,847,0,420.99,420.99,0.250,0.456,1.379
1778305093,1270,1271,0,424.21,424.20,0.251,0.461,1.382
1778305094,1694,1695,0,423.69,423.70,0.250,0.456,1.382
1778305095,2122,2123,0,428.14,428.15,0.250,0.450,1.373
1778305096,2548,2549,0,426.24,426.24,0.250,0.442,1.373
1778305097,2972,2973,0,423.66,423.66,0.249,0.442,1.371
1778305098,3398,3399,0,426.19,426.19,0.249,0.434,1.362
1778305098,3818,3818,0,420.08,419.06,0.252,0.446,1.366
1778305099,4244,4245,0,425.59,426.61,0.252,0.450,1.370
1778305100,4245,4245,0,1.00,0.00,0.252,0.450,1.370
