timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1778304959,0,0,0,0.00,0.00,0.000,0.000,0.000
1778304960,1,1,0,1.00,1.00,0.507,0.507,0.507
1778304961,1,2,0,0.00,1.00,0.311,0.507,0.507
1778304962,1,3,0,0.00,1.00,0.311,0.507,0.507
1778304963,1,4,0,0.00,1.00,0.311,0.514,0.514
1778304964,1,5,0,0.00,1.00,0.446,0.514,0.514
1778304965,1,6,0,0.00,1.00,0.389,0.514,0.514
1778304966,1,7,0,0.00,1.00,0.389,0.514,0.514
1778304967,1,8,0,0.00,1.00,0.321,0.514,0.514
1778304968,1,9,0,0.00,1.00,0.380,0.514,0.514
1778304969,1,10,0,0.00,1.00,0.321,0.514,0.514
1778304970,1,10,0,0.00,0.00,0.321,0.514,0.514
