timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1778304727,274,14,260,153874.32,8538.55,0.996,1.050,1.050
1778304728,472956,464602,8354,472555.61,464482.01,17.531,20.808,21.840
1778304729,946739,931289,15450,473990.23,466891.37,21.791,40.600,43.319
1778304730,1427173,1413922,13251,480467.33,482666.62,30.278,39.649,42.992
1778304731,1914123,1903549,10574,486144.51,488816.15,26.362,38.535,42.303
1778304732,2394425,2380129,14296,480999.57,477233.04,27.902,38.404,41.583
1778304733,2843773,2827083,16690,449463.88,447093.13,29.802,41.091,44.007
1778304734,3316956,3301233,15723,473213.11,474194.28,30.179,41.124,44.368
1778304735,3789259,3771634,17625,472306.87,470405.24,31.588,41.452,43.975
1778304736,4272838,4255530,17308,483113.74,483430.28,32.096,41.452,43.778
1778304737,4741753,4723524,18229,469365.21,468441.62,32.899,41.583,44.138
